item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,original_performance,perturbed_performance,absolute_performance_change,pdr,performance_dropped
code_generation_140,code_generation,surface_noise,5,5,0.200000,0.400000,-0.200000,-1.000000,false
code_generation_142,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_142,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_142,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_142,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_142,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_143,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_143,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_143,code_generation,paraphrasing,5,5,1.000000,0.000000,1.000000,1.000000,true
code_generation_143,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_143,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_144,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_144,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_144,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_144,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_144,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_145,code_generation,context_injection,5,5,0.000000,0.000000,0.000000,,false
code_generation_145,code_generation,formatting_changes,5,5,0.000000,0.000000,0.000000,,false
code_generation_145,code_generation,paraphrasing,5,5,0.000000,0.000000,0.000000,,false
code_generation_145,code_generation,reordering,5,5,0.000000,0.000000,0.000000,,false
code_generation_145,code_generation,surface_noise,5,5,0.000000,0.000000,0.000000,,false
code_generation_146,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_146,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_146,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_146,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_146,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_147,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_147,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_147,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_147,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_147,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_148,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_148,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_148,code_generation,paraphrasing,5,5,1.000000,0.000000,1.000000,1.000000,true
code_generation_148,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_148,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_149,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_149,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_149,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_149,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_149,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_15,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_15,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_15,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_15,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_15,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_151,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_151,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_151,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_151,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_151,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_152,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_152,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_152,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_152,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_152,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_153,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_153,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_153,code_generation,paraphrasing,5,5,1.000000,0.000000,1.000000,1.000000,true
code_generation_153,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_153,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_154,code_generation,context_injection,5,5,0.800000,0.600000,0.200000,0.250000,true
code_generation_154,code_generation,formatting_changes,5,5,0.800000,1.000000,-0.200000,-0.250000,false
code_generation_154,code_generation,paraphrasing,5,5,0.800000,1.000000,-0.200000,-0.250000,false
code_generation_154,code_generation,reordering,5,5,0.800000,0.800000,0.000000,0.000000,false
code_generation_154,code_generation,surface_noise,5,5,0.800000,0.600000,0.200000,0.250000,true
code_generation_155,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_155,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_155,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_155,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_155,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_156,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_156,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_156,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_156,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_156,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_157,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_157,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_157,code_generation,paraphrasing,5,5,1.000000,0.000000,1.000000,1.000000,true
code_generation_157,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_157,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_158,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_158,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_158,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_158,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_158,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_159,code_generation,context_injection,5,5,0.200000,0.800000,-0.600000,-3.000000,false
code_generation_159,code_generation,formatting_changes,5,5,0.200000,0.800000,-0.600000,-3.000000,false
code_generation_159,code_generation,paraphrasing,5,5,0.200000,1.000000,-0.800000,-4.000000,false
code_generation_159,code_generation,reordering,5,5,0.200000,0.800000,-0.600000,-3.000000,false
code_generation_159,code_generation,surface_noise,5,5,0.200000,1.000000,-0.800000,-4.000000,false
code_generation_16,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_16,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_16,code_generation,paraphrasing,5,5,1.000000,0.600000,0.400000,0.400000,true
code_generation_16,code_generation,reordering,5,5,1.000000,0.800000,0.200000,0.200000,true
code_generation_16,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_160,code_generation,context_injection,5,5,0.000000,0.000000,0.000000,,false
code_generation_160,code_generation,formatting_changes,5,5,0.000000,0.200000,-0.200000,,false
code_generation_160,code_generation,paraphrasing,5,5,0.000000,0.200000,-0.200000,,false
code_generation_160,code_generation,reordering,5,5,0.000000,0.000000,0.000000,,false
code_generation_160,code_generation,surface_noise,5,5,0.000000,0.000000,0.000000,,false
code_generation_161,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_161,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_161,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_161,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_161,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_162,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_162,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_162,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_162,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_162,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_163,code_generation,context_injection,5,5,0.000000,0.000000,0.000000,,false
code_generation_163,code_generation,formatting_changes,5,5,0.000000,0.000000,0.000000,,false
code_generation_163,code_generation,paraphrasing,5,5,0.000000,0.000000,0.000000,,false
code_generation_163,code_generation,reordering,5,5,0.000000,0.000000,0.000000,,false
code_generation_163,code_generation,surface_noise,5,5,0.000000,0.000000,0.000000,,false
code_generation_17,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_17,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_17,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
