scope_type,scope_value,n,relationship,x,y,pearson,spearman,spearman_ci95_low,spearman_ci95_high,spearman_permutation_p_two_sided
perturbation,paraphrase,30,single_sample,uncorrected_single_drift,abs_single_pass_rate_change,0.12863761888925676,0.27223088517129096,-0.04947878008153164,0.5477659655070328,0.15884115884115885
perturbation,paraphrase,30,single_change_auxiliary,noise_corrected_drift,abs_single_pass_rate_change,0.1033025180342209,0.0,-0.3410267550389541,0.41204033532703344,1.0
perturbation,reordering,30,primary,noise_corrected_drift,abs_repeated_pass_rate_change,0.6127981041060985,0.27079891054148547,-0.19478629999303274,0.6549824551542122,0.14385614385614387
perturbation,reordering,30,raw_auxiliary,raw_perturbation_drift,abs_repeated_pass_rate_change,0.23105097325809448,0.44459816446117306,0.19682276730712744,0.6790572950021463,0.013986013986013986
perturbation,reordering,30,single_vs_repeated_auxiliary,uncorrected_single_drift,abs_repeated_pass_rate_change,0.27875728974011765,0.47895268750714337,0.21871034367881279,0.7055839976110074,0.008991008991008992
perturbation,reordering,30,signed_drop,noise_corrected_drift,repeated_pass_rate_drop,0.22768002041611396,0.23270070164006917,-0.29137824608126034,0.6302817607289476,0.22077922077922077
perturbation,reordering,30,harmful_drop_binary,noise_corrected_drift,harmful_correctness_drop,0.44160725701401726,0.45614812715621045,0.20813326740351695,0.7478881994014226,0.03196803196803197
perturbation,reordering,30,raw_harmful_drop_binary,raw_perturbation_drift,harmful_correctness_drop,0.03639993064768146,0.1550632994212094,-0.058001484187413556,0.40686731716526203,0.4595404595404595
perturbation,reordering,30,single_sample,uncorrected_single_drift,abs_single_pass_rate_change,0.3262189178391765,0.2708414398894154,0.21849918150110492,0.5240303395828743,0.0989010989010989
perturbation,reordering,30,single_change_auxiliary,noise_corrected_drift,abs_single_pass_rate_change,-0.05908017947407322,-0.1102384418038661,-0.22969395294297862,-0.07262650583117071,1.0
perturbation,surface_noise,30,primary,noise_corrected_drift,abs_repeated_pass_rate_change,0.4359581309277316,0.608060806365912,0.24505993493788164,0.8764017886776211,0.000999000999000999
perturbation,surface_noise,30,raw_auxiliary,raw_perturbation_drift,abs_repeated_pass_rate_change,0.06721263493276732,0.2107721425507054,-0.084652910603397,0.4825493868743051,0.25674325674325676
perturbation,surface_noise,30,single_vs_repeated_auxiliary,uncorrected_single_drift,abs_repeated_pass_rate_change,0.04775986538650578,0.28377514295175765,0.01933962058500491,0.5522016532639057,0.11388611388611389
perturbation,surface_noise,30,signed_drop,noise_corrected_drift,repeated_pass_rate_drop,0.4538168006340678,0.12716695672801187,-0.465318690963647,0.6178464420993308,0.4835164835164835
perturbation,surface_noise,30,harmful_drop_binary,noise_corrected_drift,harmful_correctness_drop,0.506240548905928,0.5274911851188586,0.26224391117310886,0.7814501646636667,0.006993006993006993
perturbation,surface_noise,30,raw_harmful_drop_binary,raw_perturbation_drift,harmful_correctness_drop,0.0945964817056471,0.12243040656261768,-0.15477832701213612,0.3783920933516785,0.5424575424575424
perturbation,surface_noise,30,single_sample,uncorrected_single_drift,abs_single_pass_rate_change,0.18641761547046865,0.2609993388025125,-0.05823978804485608,0.542120768595237,0.16583416583416583
perturbation,surface_noise,30,single_change_auxiliary,noise_corrected_drift,abs_single_pass_rate_change,0.31768869333699457,0.49034391856119247,0.10101825498129649,0.7947539001113466,0.008991008991008992
task_perturbation,code_generation:context_injection,10,primary,noise_corrected_drift,abs_repeated_pass_rate_change,0.7348267455229587,0.42313952231127866,-0.41673906247543097,0.9086470599329797,0.23276723276723277
task_perturbation,code_generation:context_injection,10,raw_auxiliary,raw_perturbation_drift,abs_repeated_pass_rate_change,0.6797353619309127,0.6785567440786864,0.1854859586414796,0.9682458365518543,0.03696303696303696
task_perturbation,code_generation:context_injection,10,single_vs_repeated_auxiliary,uncorrected_single_drift,abs_repeated_pass_rate_change,0.7434984664840993,0.5741633988358115,-0.060225186169698644,0.9362816758985388,0.08691308691308691
task_perturbation,code_generation:context_injection,10,signed_drop,noise_corrected_drift,repeated_pass_rate_drop,-0.8542741583580014,-0.6847166815582509,-0.9362816758985388,-0.3105649968749708,0.03596403596403597
task_perturbation,code_generation:context_injection,10,harmful_drop_binary,noise_corrected_drift,harmful_correctness_drop,-0.253085538044228,-0.3592106040535498,-0.7131100530487278,-0.26148818018424536,0.5914085914085914
task_perturbation,code_generation:context_injection,10,raw_harmful_drop_binary,raw_perturbation_drift,harmful_correctness_drop,0.1651347543926352,0.17407765595569785,-0.17937635071863428,0.5815599636595248,0.7962037962037962
task_perturbation,code_generation:context_injection,10,single_sample,uncorrected_single_drift,abs_single_pass_rate_change,0.8577719553052839,0.6963106238227914,0.5254270830780441,0.8914605918126537,0.054945054945054944
task_perturbation,code_generation:context_injection,10,single_change_auxiliary,noise_corrected_drift,abs_single_pass_rate_change,0.43862358171521415,0.13470397652008118,-0.6140130043153911,0.820412654142367,0.7792207792207793
task_perturbation,code_generation:formatting,10,primary,noise_corrected_drift,abs_repeated_pass_rate_change,0.7949102639978788,0.7991055024756403,0.3672343934343567,1.0,0.015984015984015984
task_perturbation,code_generation:formatting,10,raw_auxiliary,raw_perturbation_drift,abs_repeated_pass_rate_change,0.7290119407215508,0.6667087528803173,0.17755584201626828,0.9457324874869208,0.03996003996003996
task_perturbation,code_generation:formatting,10,single_vs_repeated_auxiliary,uncorrected_single_drift,abs_repeated_pass_rate_change,0.7039211794684407,0.6461965715116599,0.17180168348455357,0.8914605918126537,0.04195804195804196
task_perturbation,code_generation:formatting,10,signed_drop,noise_corrected_drift,repeated_pass_rate_drop,0.7949102639978788,0.7991055024756403,0.3672343934343567,1.0,0.015984015984015984
task_perturbation,code_generation:formatting,10,harmful_drop_binary,noise_corrected_drift,harmful_correctness_drop,0.7059703107147505,0.7699188535494523,0.35205837822285463,0.9860132971832694,0.017982017982017984
task_perturbation,code_generation:formatting,10,raw_harmful_drop_binary,raw_perturbation_drift,harmful_correctness_drop,0.668485664538601,0.6457765999379483,0.17733172553297716,0.8883395012895695,0.06293706293706294
task_perturbation,code_generation:formatting,10,single_sample,uncorrected_single_drift,abs_single_pass_rate_change,0.665017665633843,0.6477424388838845,0.17733172553297716,0.8914605918126537,0.055944055944055944
task_perturbation,code_generation:formatting,10,single_change_auxiliary,noise_corrected_drift,abs_single_pass_rate_change,0.7059703107147505,0.7699188535494523,0.35205837822285463,0.9860132971832694,0.017982017982017984
task_perturbation,code_generation:paraphrase,10,primary,noise_corrected_drift,abs_repeated_pass_rate_change,0.7917528029902084,0.4819315973414993,-0.17733172553297716,0.8914838516765714,0.23276723276723277
task_perturbation,code_generation:paraphrase,10,raw_auxiliary,raw_perturbation_drift,abs_repeated_pass_rate_change,0.650058147985685,0.23354968324845687,-0.5816005649411269,0.8126360553720011,0.5134865134865135
task_perturbation,code_generation:paraphrase,10,single_vs_repeated_auxiliary,uncorrected_single_drift,abs_repeated_pass_rate_change,0.6020097870138209,0.3113995776646092,-0.5319951765989315,0.8135457572711844,0.3996003996003996
task_perturbation,code_generation:paraphrase,10,signed_drop,noise_corrected_drift,repeated_pass_rate_drop,0.8564476057821814,0.32128773156099955,-0.49974509302447256,0.8338850270934215,0.4085914085914086
task_perturbation,code_generation:paraphrase,10,harmful_drop_binary,noise_corrected_drift,harmful_correctness_drop,0.9911348279714091,0.5388159060803247,0.5303300858899106,0.8837428491171206,0.0969030969030969
task_perturbation,code_generation:paraphrase,10,raw_harmful_drop_binary,raw_perturbation_drift,harmful_correctness_drop,0.8870902781667555,0.5222329678670935,0.5254270830780441,0.8808809389099401,0.1998001998001998
task_perturbation,code_generation:paraphrase,10,single_sample,uncorrected_single_drift,abs_single_pass_rate_change,0.452423674761146,0.26111648393354675,-0.5319951765989315,0.8126360553720011,0.5464535464535465
task_perturbation,code_generation:paraphrase,10,single_change_auxiliary,noise_corrected_drift,abs_single_pass_rate_change,0.6424559383921185,0.4490132550669373,-0.17768190753811958,0.8541985556144386,0.26673326673326675
task_perturbation,code_generation:reordering,10,primary,noise_corrected_drift,abs_repeated_pass_rate_change,-0.16507993063517085,-0.16563466499998442,-0.408248290463863,-0.1111111111111111,1.0
task_perturbation,code_generation:reordering,10,raw_auxiliary,raw_perturbation_drift,abs_repeated_pass_rate_change,0.14814430777623527,0.40741767253225397,0.17677669529663687,0.820412654142367,0.3206793206793207
task_perturbation,code_generation:reordering,10,single_vs_repeated_auxiliary,uncorrected_single_drift,abs_repeated_pass_rate_change,0.404010020950431,0.4124789556921527,0.17677669529663687,0.8613487542555166,0.5134865134865135
task_perturbation,code_generation:reordering,10,signed_drop,noise_corrected_drift,repeated_pass_rate_drop,0.16507993063517085,0.16563466499998442,0.1111111111111111,0.408248290463863,1.0
task_perturbation,code_generation:reordering,10,harmful_drop_binary,noise_corrected_drift,harmful_correctness_drop,,,,,
task_perturbation,code_generation:reordering,10,raw_harmful_drop_binary,raw_perturbation_drift,harmful_correctness_drop,,,,,
task_perturbation,code_generation:reordering,10,single_sample,uncorrected_single_drift,abs_single_pass_rate_change,0.4040100209504309,0.4124789556921527,0.17677669529663687,0.8613487542555166,0.5134865134865135
task_perturbation,code_generation:reordering,10,single_change_auxiliary,noise_corrected_drift,abs_single_pass_rate_change,-0.16507993063517085,-0.16563466499998442,-0.408248290463863,-0.1111111111111111,1.0
task_perturbation,code_generation:surface_noise,10,primary,noise_corrected_drift,abs_repeated_pass_rate_change,0.8100187453705658,0.5883484054145521,0.5423261445466405,1.0,0.11488511488511488
task_perturbation,code_generation:surface_noise,10,raw_auxiliary,raw_perturbation_drift,abs_repeated_pass_rate_change,0.4903401337753049,0.4061811972299616,0.17677669529663687,0.820412654142367,0.4145854145854146
task_perturbation,code_generation:surface_noise,10,single_vs_repeated_auxiliary,uncorrected_single_drift,abs_repeated_pass_rate_change,0.31019013671707096,0.29012942659282975,-0.05892556509887896,0.7198253034936257,0.6033966033966034
task_perturbation,code_generation:surface_noise,10,signed_drop,noise_corrected_drift,repeated_pass_rate_drop,0.8100187453705658,0.5883484054145521,0.5423261445466405,1.0,0.11488511488511488
task_perturbation,code_generation:surface_noise,10,harmful_drop_binary,noise_corrected_drift,harmful_correctness_drop,0.8100187453705658,0.5883484054145521,0.5423261445466405,1.0,0.11488511488511488
task_perturbation,code_generation:surface_noise,10,raw_harmful_drop_binary,raw_perturbation_drift,harmful_correctness_drop,0.4903401337753049,0.4061811972299616,0.17677669529663687,0.820412654142367,0.4145854145854146
